_id,invite_code,new_invite_code,invite.guild.id,invite.guild.name,invite.approximate_member_count
5f915135ecf5a59e4a58c3bb,aagaRu,QTGYubV,717550663176945756,Los pibito,14
5f91513cecf5a59e4a58c3bc,aagNkD,3dyw2GF,482954608524918817,ㄴㅇㄹ,18
5f91513fecf5a59e4a58c3bd,aagKnw,xKBEPTb,768765494320693269,율의 모동숲,1
5f915144ecf5a59e4a58c3be,aagCH5,qt3jGVw,768414653620551721,MAYGIRAF,6
5f915149ecf5a59e4a58c3bf,aagatd,gVqGGuu,765007274195550227,Swat Magnets,8
5f915151ecf5a59e4a58c3c0,aagV5q,CgpRjXp,767725168495296542,8º ano A,18
5f915155ecf5a59e4a58c3c1,aagbpg,ZWYUYZS,708421346060795954,Hepatitis C,23
5f915159ecf5a59e4a58c3c2,aagYuH,PkN2z8u,768515181079822336,FORNAIT,5
5f91515aecf5a59e4a58c3c3,aagzMp,kPA4rtU,768442287826010132,YouTube,4
5f91515cecf5a59e4a58c3c4,aagbs6,VHxNsZb,512255151906619392,lol kek,17
5f915163ecf5a59e4a58c3c5,aagS2y,Cp2Rfnt,382716219096301569,"Alekii's Christian Discord",326
5f915167ecf5a59e4a58c3c6,aagtuN,Gn5JmBb,656467706517782538,"sbossini's server",10
5f91516becf5a59e4a58c3c7,aag3Ce,yKk2zJb,629467219558137869,Vindex WW1 {Offical},32
5f915175ecf5a59e4a58c3c8,aag8GA,FkECuxw,734340008110063638,"Wishera's server",6
5f91517aecf5a59e4a58c3c9,aag2YB,TyXjmmD,768511913306750996,"suraya gaming's server",1
5f91517decf5a59e4a58c3ca,aaha5V,GgHGsk5,351504906517086208,"N8's WRLD",84
5f915184ecf5a59e4a58c3cb,aahgg5,cs6ZZ9F,748538641353015367,Among Us - Deutsch,55851
5f9151a0ecf5a59e4a58c3cc,aahpQq,UkNhW2u,677045020272099329,JaLS Bizarre Adventures,9
5f9151a6ecf5a59e4a58c3cd,aahpQx,28e3frN,709034047090982935,Syth Pack ༄,160
5f9151aeecf5a59e4a58c3ce,aahuS2,D3hVvZk,767318983577567232,IL BAR DEL BAMBABOSCO,4
5f9151b3ecf5a59e4a58c3cf,aahgAU,ntqcyme,768407275412127745,RESISTANCE GUILD MEMBERS ONLY!,1
5f9151b5ecf5a59e4a58c3d0,aahwbB,tu2VHZF,583505604333535232,TentaTenta,93
5f9151b9ecf5a59e4a58c3d1,aahwPr,sXtyj6T,689887839931858959,_RedSea+,164
5f9151bbecf5a59e4a58c3d2,aahu4J,QxQqP3n,316390574808760322,WC3 Gym,4756
5f9151c0ecf5a59e4a58c3d3,aahCHR,zFHmuw8,490282110981111808,Canadian TRADOC,581
5f9151c2ecf5a59e4a58c3d4,aahzzD,HzGcjcx,754392379288715364,Among Us 💫,45
5f9151c7ecf5a59e4a58c3d5,aahC4C,wKCKCWd,768690476487278604,HORNY JAIL,11
5f9151c7ecf5a59e4a58c3d6,aag6P8,VMXUBB9,693627298296889355,TW Scrims,22836
5f9151d5ecf5a59e4a58c3d7,aahp5s,null,712337936250568784,The Maze Runner Wiki,78
5f9151d8ecf5a59e4a58c3d8,aahA7u,kJRzt2B,672988292328980491,🐍CABULERS🐍,5993
5f9151dcecf5a59e4a58c3d9,aahAFr,HngnZCF,649519958526525440,Irony Manor,10
5f9151e2ecf5a59e4a58c3da,aahJgg,null,728371175864139796,《Confusion Studios》,544
5f9151e6ecf5a59e4a58c3db,aahMyU,null,694112933147312150,Empire Soudanais 🆖,21
5f9151e7ecf5a59e4a58c3dc,aahQf3,JU929kx,529888414321868811,ZaVeN,81
5f9151edecf5a59e4a58c3dd,aahKVc,XDGVdN2,763531562896588821,Splash bros,51
5f9151f5ecf5a59e4a58c3de,aagv9T,bdkrYEP,693897874840485908,⛈ House of Lynnn ⛅,292
5f9151faecf5a59e4a58c3df,aahzeU,XXWKRAc,504786870538862612,Game Time,80
5f915205ecf5a59e4a58c3e0,aahShH,dNDSeQC,764929836195512331,Amoung Us,6
5f915205ecf5a59e4a58c3e1,aahFBf,null,577548897388462090,🔧 𝐌.𝐄.𝐂 | 𝐓𝐑𝐀𝐏𝐋𝐈𝐅𝐄𝐑𝐏.𝐍𝐄𝐓 ®,727
5f915206ecf5a59e4a58c3e2,aafUev,RM9c6UH,768506134893035640,Minecraft survival extreme jonatan e piuzinho,1
5f915208ecf5a59e4a58c3e3,aahEdC,null,752494714837532793,Wholesome Insomniacs,49
5f91520fecf5a59e4a58c3e4,aah6cZ,qReFJby,768508726503538730,"The Deadly Tanish's server",1
5f915212ecf5a59e4a58c3e5,aah6gH,5bV3TGy,768604955354857501,"juanchito2012's server",2
5f915215ecf5a59e4a58c3e6,aah6HY,hNvmz3b,729796353986789427,Friends of Dorothy,10
